team_name,position,total_teams,played,wins,draws,losses,goals_for,goals_against,points,home_wins,home_draws,home_losses,home_goals_for,home_goals_against,away_wins,away_draws,away_losses,away_goals_for,away_goals_against
Bayern München,1,18,15,11,3,1,47,13,36,6,1,0,22,4,5,2,1,25,9
Bayer Leverkusen,2,18,15,9,5,1,37,21,32,5,2,1,22,13,4,3,0,15,8
Eintracht Frankfurt,3,18,15,8,3,4,35,23,27,4,2,1,19,11,4,1,3,16,12
RB Leipzig,4,18,15,8,3,4,24,20,27,4,2,1,11,7,4,1,3,13,13
Mainz 05,5,18,15,7,4,4,28,20,25,3,2,3,10,10,4,2,1,18,10
Borussia Dortmund,6,18,15,7,4,4,28,22,25,6,2,0,20,8,1,2,4,8,14
Werder Bremen,7,18,15,7,4,4,26,25,25,2,3,2,10,12,5,1,2,16,13
Monchengladbach,8,18,15,7,3,5,25,20,24,5,1,2,18,11,2,2,3,7,9
Freiburg,9,18,15,7,3,5,21,24,24,5,1,1,14,9,2,2,4,7,15
Stuttgart,10,18,15,6,5,4,29,25,23,4,2,2,18,12,2,3,2,11,13
Wolfsburg,11,18,15,6,3,6,32,28,21,2,2,4,14,18,4,1,2,18,10
Union Berlin,12,18,15,4,5,6,14,19,17,3,3,1,8,6,1,2,5,6,13
Augsburg,13,18,15,4,4,7,17,32,16,4,2,2,12,10,0,2,5,5,22
St. Pauli,14,18,15,4,2,9,12,19,14,1,2,4,3,9,3,0,5,9,10
Hoffenheim,15,18,15,3,5,7,20,28,14,3,1,4,16,19,0,4,3,4,9
Heidenheim,16,18,15,3,1,11,18,33,10,1,1,5,6,14,2,0,6,12,19
Holstein Kiel,17,18,15,2,2,11,19,38,8,2,0,6,9,20,0,2,5,10,18
Bochum,18,18,15,1,3,11,13,35,6,1,2,4,6,14,0,1,7,7,21 
