team_name,position,total_teams,played,wins,draws,losses,goals_for,goals_against,points,home_wins,home_draws,home_losses,home_goals_for,home_goals_against,away_wins,away_draws,away_losses,away_goals_for,away_goals_against
Atalanta,1,20,18,13,2,3,43,20,41,7,0,1,25,11,6,2,2,18,9
Napoli,2,20,18,13,2,3,27,12,41,7,0,2,13,6,6,2,1,14,6
Inter,3,20,17,12,4,1,45,15,40,6,2,1,21,10,6,2,0,24,5
Lazio,4,20,18,11,2,5,33,25,35,6,2,1,18,13,5,0,4,15,12
Fiorentina,5,20,17,9,5,3,31,15,32,5,2,1,16,8,4,3,2,15,7
Juventus,6,20,18,7,11,0,30,15,32,3,7,0,15,9,4,4,0,15,6
Bologna,7,20,17,7,7,3,25,21,28,3,4,1,10,6,4,3,2,15,15
Milan,8,20,17,7,6,4,26,17,27,4,4,1,14,5,3,2,3,12,12
Udinese,9,20,18,7,3,8,23,28,24,4,1,4,11,13,3,2,4,12,15
Roma,10,20,18,5,5,8,24,24,20,5,0,4,18,10,0,5,4,6,14
Torino,11,20,18,5,5,8,19,24,20,2,2,4,6,9,3,3,4,13,15
Empoli,12,20,18,4,7,7,17,21,19,1,4,4,3,8,3,3,3,14,13
Genoa,13,20,18,4,7,7,16,27,19,0,6,4,9,16,4,1,3,7,11
Parma,14,20,18,4,6,8,25,34,18,3,2,5,16,18,1,4,3,9,16
Como,15,20,18,4,6,8,20,30,18,3,3,2,12,13,1,3,6,8,17
Hellas Verona,16,20,18,6,0,12,24,42,18,3,0,6,11,22,3,0,6,13,20
Lecce,17,20,18,4,4,10,11,31,16,3,3,3,9,17,1,1,7,2,14
Cagliari,18,20,18,3,5,10,16,31,14,2,3,5,8,18,1,2,5,8,13
Venezia,19,20,18,3,4,11,17,31,13,3,1,4,10,11,0,3,7,7,20
Monza,20,20,18,1,7,10,16,25,10,0,3,6,7,13,1,4,4,9,12 
