player_name,matches,goals,assists,shots_per_match,shots_on_target_per_match,pass_accuracy,tackles_per_match,aerials_per_match,yellow_cards
Krzysztof Piatek,16,12,1,3.1,1.6,71.3,0.3,2.8,3
Joao Figueiredo,15,5,0,1.1,0.7,77.5,0.2,0.7,2
Deniz Türüç,15,3,4,0.9,0.6,78.5,0.3,0.5,4
Jerome Opoku,15,2,2,0.9,0.5,89.3,0.7,2.1,4
Serdar Gürler,11,1,1,1.1,0.5,81.0,1.0,0.6,1
Philippe Keny,9,1,1,0.3,0.2,59.1,0.0,0.6,0
Miguel Crespo,13,1,1,0.7,0.2,82.4,1.6,0.7,3
Davidson,14,1,0,0.4,0.2,80.4,0.7,0.9,1
Leo Duarte,13,1,0,0.3,0.2,84.6,0.9,2.1,1
Ömer Ali Şahiner,5,0,0,0.0,0.0,86.4,0.4,0.4,2
Dimitrios Pelkas,10,0,2,0.3,0.1,76.9,0.3,0.4,1
Lucas Lima,12,0,1,0.1,0.0,71.4,1.2,2.2,1
Olivier Kemen,15,0,4,0.7,0.2,74.7,1.0,1.4,2
Patryk Szysz,3,0,0,0.0,0.0,82.6,0.0,0.3,0
Berkay Özcan,11,0,0,0.5,0.2,86.7,0.1,0.6,0
Ousseynou Ba,8,0,0,0.1,0.0,88.9,1.3,3.9,2
Ömer Faruk Beyaz,4,0,0,0.3,0.3,90.9,0.0,0.3,0
Matchoi Djalo,3,0,0,0.0,0.0,84.2,0.3,0.0,0
Onur Ergün,13,0,0,0.3,0.1,83.6,1.1,1.4,3
Berat Özdemir,16,0,1,0.3,0.1,84.3,0.9,0.7,3 
