player_name,matches,goals,assists,shots_per_match,shots_on_target_per_match,pass_accuracy,tackles_per_match,aerials_per_match,yellow_cards
Romulo,14,7,4,2.8,1.2,71.2,0.4,1.9,3
David Tijanic,15,4,6,1.3,0.9,84.0,0.5,0.4,1
Juan,14,3,2,0.9,0.4,58.9,0.8,2.4,0
Datro Fofana,9,2,0,0.6,0.4,70.2,0.0,1.1,1
Isaac Solet,11,2,1,0.9,0.5,70.2,1.1,2.2,4
Novatus Miroshi,9,2,0,0.4,0.2,75.2,0.6,1.7,0
Taha Altıkardeş,14,2,1,0.6,0.2,73.2,0.4,2.6,1
Koray Günter,9,1,0,0.3,0.1,69.9,0.3,1.4,2
Malcom Bokele,14,1,0,0.5,0.1,72.9,0.4,2.0,5
Djalma Silva,15,1,2,0.9,0.2,67.3,1.2,2.1,1
Kuryu Matsuki,13,1,3,0.8,0.5,68.5,0.5,1.1,2
Heliton,16,1,0,1.4,0.5,76.6,0.6,4.8,3
Ahmed Ildız,8,1,0,0.4,0.1,78.1,0.5,0.8,0
Doğan Erdoğan,8,1,0,0.6,0.4,67.3,0.8,0.5,0
Lasse Nielsen,9,0,0,0.3,0.0,64.6,0.9,0.4,0
Kubilay Kanatsızkuş,4,0,0,1.3,0.8,52.0,1.0,1.8,1
Nazım Sangare,11,0,1,0.2,0.0,64.3,1.3,0.1,1
Yalçın Kayan,1,0,0,0.0,0.0,62.5,0.0,0.0,0
Uğur Kaan Yıldız,0,0,0,0.0,0.0,0.0,0.0,0.0,0
Ogün Bayrak,9,0,0,0.3,0.0,75.8,1.4,0.3,1 
