team_name,matches,goals_per_match,shots_per_match,shots_on_target_per_match,possession,pass_accuracy,successful_passes_per_match,duels_won,aerial_duels_won,corners_per_match
Bayern München,15,3.1,14.1,7.9,72,90.3,692,54.8,55.9,6.6
Bayer Leverkusen,15,2.5,12.3,6.4,62,88.5,566,50.1,53.2,7.3
Eintracht Frankfurt,15,2.3,10.8,5.5,48,83.4,375,50.8,52.4,5.5
Wolfsburg,15,2.1,9.3,4.8,44,77.4,295,48.7,48.8,5.0
Borussia Dortmund,15,1.9,8.9,4.5,59,86.7,476,51.9,55.1,5.0
Mainz 05,15,1.9,8.9,4.7,47,77.7,316,47.7,47.5,4.9
Stuttgart,15,1.9,10.8,5.7,59,85.9,476,49.4,50.6,5.5
Werder Bremen,15,1.7,8.5,4.4,49,82.4,394,51.0,49.9,5.1
Mönchengladbach,15,1.7,10.2,5.3,51,83.0,409,49.2,51.3,4.8
RB Leipzig,15,1.6,8.4,4.7,52,83.1,408,50.4,55.3,4.0
Freiburg,15,1.4,9.6,4.7,49,80.9,383,51.2,47.1,4.1
Hoffenheim,15,1.3,9.7,4.7,50,81.7,375,50.2,47.9,5.2
Holstein Kiel,15,1.3,8.3,4.2,43,77.5,294,50.2,50.2,3.9
Heidenheim,15,1.2,8.5,3.6,40,74.5,261,51.5,48.0,3.9
Augsburg,15,1.1,9.4,3.7,42,78.6,294,50.4,53.8,5.2
Bochum,15,0.9,8.4,3.5,41,74.2,260,47.2,49.7,3.9
Union Berlin,15,0.9,9.1,3.6,42,76.0,290,47.5,48.1,4.9
St. Pauli,15,0.8,7.8,3.3,43,78.4,321,48.6,42.7,3.6 
