team_name,matches,goals_per_match,shots_per_match,shots_on_target_per_match,possession,pass_accuracy,successful_passes_per_match,duels_won,aerial_duels_won,corners_per_match
Barcelona,19,2.7,12.4,6.6,67,87.9,528,52.9,49.9,6.1
Real Madrid,18,2.3,10.8,6.3,60,89.5,544,55.5,54.9,5.4
Villarreal,18,1.9,11.2,4.8,48,84.0,370,53.6,57.2,4.6
Atletico Madrid,18,1.8,8.9,4.7,52,83.9,436,49.7,51.3,5.0
Athletic Bilbao,19,1.5,9.0,4.1,47,80.8,331,45.9,48.2,4.9
Celta Vigo,18,1.5,8.8,4.5,53,85.1,443,49.1,48.6,3.5
Girona,18,1.4,7.8,3.9,59,89.0,501,49.7,47.6,5.1
Las Palmas,18,1.3,8.4,3.9,52,82.4,382,50.6,49.5,4.0
Osasuna,18,1.3,7.6,3.3,45,75.7,265,50.2,54.5,4.2
Deportivo Alaves,18,1.2,7.6,3.5,42,72.3,229,47.6,47.6,4.5
Real Betis,18,1.2,10.9,4.8,51,82.5,372,49.6,47.6,4.8
Sevilla,18,1.1,8.8,3.8,52,81.8,372,50.8,53.8,5.2
Rayo Vallecano,18,1.1,9.2,3.5,48,77.8,296,47.3,46.6,5.3
Mallorca,19,1.0,8.0,3.5,45,79.6,297,51.5,53.7,4.1
Espanyol,18,0.9,6.6,2.3,40,77.5,258,50.1,49.3,4.1
Leganes,18,0.9,5.9,2.6,42,75.3,269,49.1,44.2,2.8
Valencia,17,0.9,7.1,3.1,49,79.1,325,47.5,42.8,5.9
Real Sociedad,18,0.9,8.3,3.7,55,82.3,374,49.6,46.8,6.1
Valladolid,18,0.7,6.1,2.2,42,79.3,271,52.3,53.9,3.6
Getafe,18,0.6,8.3,3.2,44,70.4,212,48.8,51.7,4.1 
