team_name,matches,goals_per_match,shots_per_match,shots_on_target_per_match,possession,pass_accuracy,successful_passes_per_match,duels_won,aerial_duels_won,corners_per_match
PSG,16,2.8,15.1,8.9,69,91.1,670,50.7,53.1,7.6
Marseille,15,2.1,9.0,5.2,60,88.9,537,52.0,54.5,3.4
Nice,15,1.9,10.5,5.6,48,84.3,355,51.2,49.6,4.7
Lyon,15,1.8,9.5,5.8,54,84.1,403,49.0,47.2,5.9
RC Strasbourg,15,1.7,7.9,4.9,49,84.9,391,51.4,49.5,3.9
Lille,15,1.7,9.0,4.6,56,86.0,444,49.9,52.6,4.2
Monaco,16,1.6,10.3,4.9,55,82.3,399,51.3,50.5,4.4
Brest,15,1.6,9.7,4.9,49,80.8,352,50.6,52.0,3.6
Auxerre,15,1.5,8.5,4.5,43,78.4,291,48.6,48.6,3.7
Lens,15,1.3,10.3,4.7,54,83.1,395,47.9,55.3,5.5
Reims,15,1.3,8.9,3.8,45,82.1,323,51.2,47.1,4.1
Rennes,15,1.3,8.3,4.5,51,84.0,381,49.0,48.1,5.7
Toulouse,15,1.1,8.7,4.0,44,79.8,320,49.5,52.7,4.7
Nantes,15,1.1,8.0,4.2,42,81.6,322,49.6,51.0,4.9
Montpellier,15,1.0,8.3,4.3,47,82.2,325,50.2,45.6,5.6
Angers,15,0.9,7.1,3.3,42,81.9,315,49.6,46.6,3.8
Saint-Etienne,15,0.8,7.3,3.3,41,80.8,311,46.9,44.9,2.9
Le Havre,15,0.7,7.2,2.8,43,81.2,307,51.7,51.6,3.7 
