player_name,matches,goals,assists,shots_per_match,shots_on_target_per_match,pass_accuracy,tackles_per_match,aerials_per_match,yellow_cards
Sam Larsson,12,5,3,1.0,0.8,76.7,0.3,0.3,1
Braian Samudio,15,4,0,1.3,0.7,72.5,0.4,2.7,0
Adolfo Gaich,15,3,0,1.0,0.5,63.7,0.1,0.9,1
Moussa Djenepo,11,2,0,0.6,0.4,70.3,0.4,0.0,3
Soner Dikmen,14,2,0,0.5,0.2,85.0,0.4,0.7,0
Veysel Sarı,14,1,0,0.5,0.1,83.6,1.2,2.1,3
Thalisson Kelven,15,1,0,0.3,0.3,87.3,1.3,2.5,6
Ramzi Safuri,12,1,0,0.6,0.3,79.0,0.2,0.7,1
Sander Van de Streek,14,1,0,0.7,0.2,71.9,0.4,1.1,1
Güray Vural,11,0,0,1.1,0.1,82.7,1.1,1.0,1
Andros Townsend,12,0,0,0.3,0.2,77.2,0.3,0.1,1
Erdoğan Yeşilyurt,11,0,4,1.0,0.2,76.3,1.2,1.1,3
Erdal Rakip,13,0,1,0.5,0.2,80.0,0.8,1.0,4
Deni Milosevic,2,0,0,0.0,0.0,94.1,0.0,0.0,0
Abdurrahim Dursun,4,0,0,0.0,0.0,78.4,0.0,0.5,1
Mert Yılmaz,10,0,2,0.2,0.0,86.9,0.4,0.1,1
Bahadır Öztürk,1,0,0,0.0,0.0,0.0,0.0,1.0,0
Bünyamin Balcı,1,0,0,0.0,0.0,78.6,4.0,0.0,0
Emrecan Uzunhan,3,0,0,0.0,0.0,75.5,0.3,0.0,0
Jakub Kaluzinski,16,0,5,0.5,0.0,87.5,0.3,0.6,3 
