player_name,matches,goals,assists,shots_per_match,shots_on_target_per_match,pass_accuracy,tackles_per_match,aerials_per_match,yellow_cards
Ciro Immobile,13,9,0,1.8,1.0,71.5,0.2,1.2,3
Rafa Silva,16,4,0,2.1,1.3,78.6,0.5,0.4,2
Gedson Fernandes,15,3,0,1.1,0.5,83.1,1.8,0.7,1
Ernest Muçi,12,3,1,1.3,0.6,82.9,0.5,0.7,0
Alex Oxlade-Chamberlain,4,1,0,0.3,0.3,79.1,0.3,0.5,0
Semih Kılıçsoy,15,1,2,0.9,0.3,74.5,0.4,0.9,2
Al-Musrati,12,1,0,0.5,0.3,85.1,0.9,1.3,3
Milot Rashica,11,1,3,0.5,0.2,73.9,1.2,0.1,1
Gabriel Paulista,9,1,0,0.6,0.1,87.3,0.3,3.2,0
Necip Uysal,1,0,0,0.0,0.0,91.3,1.0,0.0,0
Arthur Masuaku,15,0,4,0.6,0.1,85.0,1.1,1.4,4
Joao Mario,9,0,1,0.3,0.1,87.7,1.0,0.4,0
Onur Bulut,7,0,0,0.1,0.1,83.1,0.0,0.1,0
Omar Colley,2,0,0,0.0,0.0,87.5,2.0,2.0,1
Felix Uduokhai,11,0,0,0.5,0.1,89.4,0.7,3.6,0
Tayyip Talha Sanuç,6,0,0,0.0,0.0,82.1,0.3,2.3,1
Bakhtiyor Zaynutdinov,6,0,0,0.0,0.0,80.0,0.3,1.3,0
Jackson Muleka,1,0,0,1.0,0.0,77.8,0.0,1.0,0
Can Keleş,3,0,0,0.7,0.3,78.3,0.3,0.0,0
Emirhan Topçu,14,0,0,0.1,0.1,80.1,0.6,1.4,5 
