player_name,matches,goals,assists,shots_per_match,shots_on_target_per_match,pass_accuracy,tackles_per_match,aerials_per_match,yellow_cards
Mame Thiam,16,8,1,2.0,1.2,72.5,0.4,2.3,3
Ahmed Kutucu,16,7,5,1.8,0.9,76.8,1.0,1.3,6
Samu Saiz,16,3,1,0.6,0.6,83.9,0.3,0.0,3
Emre Akbaba,17,3,1,1.2,0.6,80.2,1.2,0.5,2
Halil Akbunar,13,2,1,0.7,0.4,73.8,0.7,0.9,2
Gianni Bruno,13,1,1,0.8,0.5,84.9,0.2,0.3,0
Prince Obeng Ampem,11,1,0,0.5,0.3,81.7,0.6,0.4,1
Caner Erkin,12,0,1,0.4,0.2,73.2,0.6,0.7,2
Recep Niyaz,1,0,0,0.0,0.0,100.0,0.0,0.0,0
Ruben Vezo,7,0,0,0.0,0.0,83.9,0.6,0.7,0
Robin Yalçın,16,0,1,0.3,0.2,87.9,1.0,1.1,6
Tayfur Bingöl,11,0,1,0.0,0.0,87.9,0.9,0.5,0
Sinan Gümüş,3,0,0,0.0,0.0,100.0,0.0,0.0,0
Taşkın İlter,6,0,1,0.0,0.0,86.5,0.5,0.3,2
Fethi Özer,0,0,0,0.0,0.0,0.0,0.0,0.0,0
Leo Dubois,12,0,0,0.1,0.1,74.5,0.9,0.3,0
Tugay Kacar,3,0,0,0.0,0.0,81.8,1.0,0.7,0
Dorukhan Toköz,10,0,0,0.0,0.0,67.2,0.3,0.5,1
Emre Mor,2,0,0,0.0,0.0,73.7,0.5,0.0,0
Melih Kabasakal,16,0,2,0.2,0.1,88.4,2.3,1.0,4 
