player_name,matches,goals,assists,shots_per_match,shots_on_target_per_match,pass_accuracy,tackles_per_match,aerials_per_match,yellow_cards
Edin Dzeko,16,9,1,2.4,1.4,68.7,0.2,1.8,1
Dusan Tadic,16,7,6,1.2,0.8,77.8,0.5,0.6,0
Youssef En Nesyri,16,6,2,2.3,1.0,72.1,0.3,2.1,2
Fred,13,4,3,1.1,0.6,81.7,0.8,0.3,4
Allan Saint-Maximin,15,3,2,1.5,0.9,75.2,0.7,0.3,2
Oğuz Aydın,6,3,1,1.2,0.7,79.7,1.0,0.3,0
Sofyan Amrabat,12,2,1,0.5,0.2,87.1,0.5,0.2,3
Filip Kostic,10,1,2,0.5,0.2,76.0,1.0,0.9,1
Samet Akaydin,5,1,0,0.2,0.2,83.0,1.0,3.0,3
Sebastian Szymanski,16,1,3,0.9,0.4,81.6,0.8,0.4,2
Rodrigo Becao,11,1,0,0.5,0.1,86.6,0.5,2.8,1
Cenk Tosun,4,0,0,0.3,0.0,70.0,0.0,0.3,0
Rade Krunic,1,0,0,0.0,0.0,100.0,0.0,0.0,0
İrfan Can Kahveci,12,0,2,0.4,0.3,77.1,0.4,0.5,1
Bright Osayi-Samuel,10,0,0,0.4,0.3,88.4,0.7,0.5,1
Çağlar Söyüncü,12,0,0,0.6,0.2,82.3,0.8,3.7,2
Mert Müldür,14,0,1,0.1,0.1,75.8,0.4,0.6,1
Cengiz Ünder,3,0,0,0.0,0.0,77.3,0.0,0.0,1
Ferdi Kadıoğlu,2,0,0,0.0,0.0,82.4,0.0,0.0,0
Mert Hakan Yandaş,7,0,2,0.6,0.3,88.1,0.6,0.4,2 
