player_name,matches,goals,assists,shots_per_match,shots_on_target_per_match,pass_accuracy,tackles_per_match,aerials_per_match,yellow_cards
Deian Sorescu,15,5,1,1.3,0.5,68.2,0.7,0.9,4
Alexandru Maxim,15,3,3,0.7,0.3,85.8,0.9,0.5,2
Kacper Kozlowski,11,3,3,0.9,0.6,77.8,1.0,0.4,6
David Okereke,11,3,2,1.7,1.0,69.7,0.4,2.4,1
Christopher Lungoyi,13,2,0,1.2,0.8,68.2,0.5,0.7,3
Enric Saborit,10,1,0,0.9,0.2,79.9,0.5,1.7,3
Kenan Kodro,16,1,0,0.4,0.3,75.0,0.0,1.6,2
Emre Taşdemir,8,1,0,0.4,0.3,68.5,0.6,0.5,1
Ertuğrul Ersoy,13,1,0,0.3,0.2,81.3,1.2,1.6,3
Furkan Soyalp,9,1,1,0.3,0.1,67.4,0.4,0.4,1
Badou Ndiaye,12,0,2,0.6,0.3,79.6,1.3,0.8,4
Cyril Mandouki,11,0,0,0.2,0.0,80.7,1.1,0.9,2
Quentin Daubin,7,0,0,0.0,0.0,79.2,1.0,1.0,1
Halil Dervişoğlu,11,0,0,0.9,0.5,74.1,0.6,1.3,2
Mustafa Eskihellaç,11,0,1,0.6,0.2,75.3,0.7,0.5,0
İlker Karakaş,4,0,1,0.0,0.0,54.5,0.3,0.8,0
Salem Mbakata,10,0,0,0.1,0.0,73.6,0.8,0.7,0
Mirza Cihan,6,0,0,0.2,0.0,68.0,0.3,0.5,0
Godfrey Bitok Stefen,2,0,0,0.0,0.0,67.7,0.0,0.5,0
Arda Kızıldağ,11,0,0,0.5,0.1,77.2,0.8,2.3,1 
