player_name,matches,goals,assists,shots_per_match,shots_on_target_per_match,pass_accuracy,tackles_per_match,aerials_per_match,yellow_cards
Olivier Ntcham,16,5,1,1.9,1.0,84.9,0.8,0.4,3
Marius Mouandilmadji,16,5,3,1.6,0.5,58.8,0.3,2.6,3
Carlo Holse,15,5,2,1.8,0.9,82.0,0.8,1.0,1
Soner Aydoğdu,14,4,1,0.6,0.3,87.3,0.2,0.0,0
Landry Dimata,15,3,2,1.1,0.6,75.0,0.2,0.7,2
Rick Van Drongelen,16,2,0,0.3,0.2,81.2,0.9,3.1,4
Arbnor Muja,15,2,1,0.7,0.4,78.3,0.7,0.3,3
Flavien Tait,6,1,1,0.5,0.5,91.2,0.2,0.2,1
Kingsley Schindler,16,1,0,0.4,0.1,71.2,0.4,0.5,1
Youssef Ait Bennasser,14,1,0,0.4,0.1,86.7,0.9,1.0,5
Zeki Yavru,16,0,5,0.2,0.1,75.2,1.2,0.9,3
Marc Bola,16,0,2,0.4,0.2,78.3,1.0,0.9,3
Lubo Satka,15,0,0,0.1,0.0,87.9,0.9,1.5,1
Emre Kılınç,12,0,4,0.5,0.2,72.2,0.3,0.6,4
Soner Gönül,11,0,0,0.2,0.2,70.9,0.1,0.0,0
Ercan Kara,4,0,0,0.5,0.0,33.3,0.0,0.8,0
Nanu,0,0,0,0.0,0.0,0.0,0.0,0.0,0
Celil Yüksel,6,0,0,0.0,0.0,82.5,0.5,0.5,2
Gaetan Laura,10,0,1,0.3,0.2,69.1,0.1,0.4,0
Yunus Emre Çift,0,0,0,0.0,0.0,0.0,0.0,0.0,0 
