team_name,matches,goals_per_match,shots_per_match,shots_on_target_per_match,possession,pass_accuracy,successful_passes_per_match,duels_won,aerial_duels_won,corners_per_match
Inter,18,2.5,10.9,5.4,60,88.8,469,52.5,57.8,6.1
Atalanta,18,2.4,12.4,5.8,56,85.9,446,50.8,55.1,5.1
Lazio,18,1.8,10.8,5.2,53,86.2,394,50.0,47.8,5.4
Fiorentina,18,1.7,9.2,4.8,52,83.2,334,52.8,51.0,4.5
Juventus,18,1.7,9.2,4.3,61,89.5,507,50.9,46.5,5.3
Milan,17,1.5,10.6,5.4,55,88.9,424,51.9,53.4,5.8
Napoli,18,1.5,9.7,3.9,52,86.6,417,49.8,54.3,6.2
Bologna,17,1.5,9.5,4.7,57,83.9,390,47.9,48.3,4.6
Parma,18,1.4,8.8,3.8,45,81.3,322,49.2,47.2,4.8
Roma,18,1.3,9.7,4.4,58,85.9,439,51.2,48.2,4.0
Hellas Verona,18,1.3,7.3,2.7,39,76.9,258,47.6,47.5,3.9
Udinese,18,1.3,7.9,3.3,45,81.3,304,49.5,53.0,4.6
Torino,18,1.1,7.2,3.4,48,82.8,353,46.7,48.0,3.8
Como,18,1.1,10.1,4.6,54,84.8,393,51.5,47.9,4.8
Cagliari,18,0.9,9.4,3.7,47,80.2,311,49.4,51.6,5.9
Genoa,18,0.9,8.0,3.4,43,79.4,280,50.5,51.2,4.0
Monza,18,0.9,7.2,2.8,48,83.1,348,51.9,53.8,4.0
Venezia,18,0.9,7.8,3.7,43,79.5,286,48.3,47.4,3.4
Empoli,18,0.9,6.3,3.1,40,76.5,252,47.2,40.9,4.4
Lecce,18,0.6,9.2,3.3,42,80.3,281,51.2,50.2,3.7 
