team_name,matches,goals_per_match,shots_per_match,shots_on_target_per_match,possession,pass_accuracy,successful_passes_per_match,duels_won,aerial_duels_won,corners_per_match
Galatasaray,16,2.9,14.4,7.9,56,81.2,345,48.5,52.2,7.6
Fenerbahce,16,2.5,12.8,6.4,53,80.7,343,51.4,51.6,7.4
Goztepe,16,1.9,12.3,5.1,41,69.3,208,47.9,53.1,4.4
Samsunspor,16,1.8,10.1,4.8,50,79.1,318,49.3,46.7,4.6
Basaksehir,16,1.7,9.9,4.9,52,81.5,329,52.9,54.8,4.0
Besiktas,16,1.6,9.9,4.6,58,81.4,387,51.8,50.4,6.0
Trabzonspor,16,1.5,10.6,4.6,57,83.5,378,49.2,50.0,6.2
Eyupspor,17,1.5,8.2,4.5,50,80.9,319,49.7,47.5,3.8
Kasimpasa,16,1.4,10.1,3.9,53,78.9,328,51.2,50.2,4.3
Gaziantep FK,16,1.4,8.8,4.2,44,75.8,254,48.6,45.6,3.9
Antalyaspor,16,1.3,8.4,3.4,54,81.6,344,50.1,55.6,4.1
Sivasspor,17,1.2,7.9,3.8,43,78.0,257,49.8,49.9,4.4
Konyaspor,16,1.1,8.9,3.4,44,73.9,252,50.5,51.3,4.7
Kayserispor,16,1.0,8.9,4.1,50,78.6,313,48.7,47.8,6.4
Rizespor,16,1.0,8.5,3.5,55,83.0,368,48.7,48.1,4.4
Alanyaspor,16,1.0,8.4,3.3,53,82.3,366,53.1,54.1,6.0
Hatayspor,16,0.9,7.8,3.4,48,78.5,293,47.6,47.5,5.0
Adana Demirspor,16,0.9,8.8,4.3,47,78.7,283,49.4,41.6,4.3
Bodrum FK,16,0.8,8.1,3.0,40,72.3,216,52.4,50.0,4.1 
